DAFTAR SATUAN PENDIDIKAN JENJANG SMA,,,,,,,,,,,,,,,,
TAHUN AJARAN 2024/2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAMA SEKOLAH,NPSN,BENTUK,NAMA DUSUN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,PROVINSI,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI,SUMBER LISTRIK,AKSES INTERNET,SUMBER AIR,KECUKUPAN AIR
SMA TUNAS DHARMA,69957259,SMA,Gempol Motor,Tanjungpura,Kec. Karawang Barat,Kab. Karawang,Prov. Jawa Barat,41316,-6.297033000000,107.289054000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMAS AL KHOLIDIYAH,20237361,SMA,Cibogo.,Margamulya,Kec. Teluk Jambe Barat,Kab. Karawang,Prov. Jawa Barat,41362,-6.355000000000,107.257000000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMAS ANWARUL HIDAYAH,20246722,SMA,BUGIS SELATAN,Tanahbaru,Kec. Pakisjaya,Kab. Karawang,Prov. Jawa Barat,41355,-6.043300000000,107.126200000000,SWASTA,A,Ada,Tidak ada,Sumur terlindungi,Cukup
SMAS AT TAUBAH,69734349,SMA,Kiaralawang,Tirtasari,Kec. Tirtamulya,Kab. Karawang,Prov. Jawa Barat,41372,-6.340000000000,107.436800000000,SWASTA,B,Ada,Ada,Pompa,Cukup
SMAS BHINNEKA KARAWANG,20237362,SMA,-,Karawang Kulon,Kec. Karawang Barat,Kab. Karawang,Prov. Jawa Barat,41311,-6.304600000000,107.292600000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMAS BUDI MULIA,20237363,SMA,Ciherang,Wadas,Kec. Teluk Jambe Timur,Kab. Karawang,Prov. Jawa Barat,41361,-6.337132200000,107.277215400000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMAS ISLAM NURUSSALAM,20237387,SMA,BABAKAN,Medangasem,Kec. Jayakerta,Kab. Karawang,Prov. Jawa Barat,41352,-6.108800000000,107.272100000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMAS KORPRI KARAWANG,20237366,SMA,-,Karangpawitan,Kec. Karawang Barat,Kab. Karawang,Prov. Jawa Barat,41315,-6.297000000000,107.301000000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMAS KOSGORO KARAWANG,20265273,SMA,Karang Indah,Karangpawitan,Kec. Karawang Barat,Kab. Karawang,Prov. Jawa Barat,41315,-6.295600000000,107.297500000000,SWASTA,B,Ada,Ada,Pompa,Cukup
SMAS MATHLA UL ANWAR,20265274,SMA,KRAJAN II,Telukambulu,Kec. Batujaya,Kab. Karawang,Prov. Jawa Barat,41354,-6.076000000000,107.189700000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMAS MUHAMMADIYAH KARAWANG,20237369,SMA,Kaum I,Adiarsa Timur,Kec. Karawang Timur,Kab. Karawang,Prov. Jawa Barat,41311,-6.310200000000,107.291700000000,SWASTA,B,Ada,Ada,Pompa,Cukup
SMAS PAMOR,20253340,SMA,-,Cikampek Selatan,Kec. Cikampek,Kab. Karawang,Prov. Jawa Barat,41373,-6.405400000000,107.452100000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMAS PGRI CIKAMPEK,20237389,SMA,SUKAMULYA,Jomin Barat,Kec. Kotabaru,Kab. Karawang,Prov. Jawa Barat,41373,-6.415800000000,107.477000000000,SWASTA,A,Ada,Ada,Pompa,Kurang
SMAS SLAMET RIYADI,20252842,SMA,Purwadana,Purwadana,Kec. Teluk Jambe Timur,Kab. Karawang,Prov. Jawa Barat,41361,-6.294000000000,107.269300000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMAS YOS SUDARSO,20265284,SMA,-,Nagasari,Kec. Karawang Barat,Kab. Karawang,Prov. Jawa Barat,41312,-6.308900000000,107.293900000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA NEGERI 1 CIAWIGEBANG,20212939,SMA,Puhun,Ciawigebang,Kec. Ciawigebang,Kab. Kuningan,Prov. Jawa Barat,45591,-6.974000000000,108.589400000000,NEGERI,A,Ada,Tidak ada,Sumur terlindungi,Cukup
SMA NEGERI 1 CIBINGBIN,20212954,SMA,Sukasari,Sukamaju,Kec. Cibingbin,Kab. Kuningan,Prov. Jawa Barat,45587,-7.055800000000,108.750200000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMA NEGERI 1 CIDAHU,20212953,SMA,MANIS,Cidahu,Kec. Cidahu,Kab. Kuningan,Prov. Jawa Barat,45595,-6.981000000000,108.645800000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMA NEGERI 1 CIGUGUR,20212938,SMA,Gibug,Cigadung,Kec. Cigugur,Kab. Kuningan,Prov. Jawa Barat,45552,-6.982600000000,108.462700000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Kurang
SMA NEGERI 1 CILIMUS,20212937,SMA,Pon,Cilimus,Kec. Cilimus,Kab. Kuningan,Prov. Jawa Barat,45556,-6.874800000000,108.498400000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMA NEGERI 1 CINIRU,20212949,SMA,Buyut Saur,Ciniru,Kec. Ciniru,Kab. Kuningan,Prov. Jawa Barat,45565,-7.045100000000,108.498700000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMA NEGERI 1 CIWARU,20212950,SMA,PABUARAN,Lingga Jaya,Kec. Ciwaru,Kab. Kuningan,Prov. Jawa Barat,45583,-7.086200000000,108.641200000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMA NEGERI 1 DARMA,20253827,SMA,Pahing,Cipasung,Kec. Darma,Kab. Kuningan,Prov. Jawa Barat,45562,-7.018000000000,108.392800000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMA NEGERI 1 GARAWANGI,20212951,SMA,Lapang,Karamatwangi,Kec. Garawangi,Kab. Kuningan,Prov. Jawa Barat,45571,-6.999800000000,108.542100000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMA NEGERI 1 JALAKSANA,20212963,SMA,Satu,Padamenak,Kec. Jalaksana,Kab. Kuningan,Prov. Jawa Barat,45554,-6.917400000000,108.491000000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMA NEGERI 1 KADUGEDE,20212962,SMA,PAHING,Kadugede,Kec. Kadugede,Kab. Kuningan,Prov. Jawa Barat,45561,-7.004900000000,108.450600000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMA NEGERI 1 KUNINGAN,20212961,SMA,Lamepayung,Kuningan,Kec. Kuningan,Kab. Kuningan,Prov. Jawa Barat,45511,-6.977800000000,108.482300000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMA NEGERI 1 LEBAKWANGI,20212960,SMA,Puhun,Cinagara,Kec. Lebakwangi,Kab. Kuningan,Prov. Jawa Barat,45574,-7.027600000000,108.585800000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMA NEGERI 1 LURAGUNG,20212959,SMA,RAHAYU,CIRAHAYU,Kec. Luragung,Kab. Kuningan,Prov. Jawa Barat,45581,-7.014100000000,108.620400000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMA NEGERI 1 MANDIRANCAN,20212958,SMA,-,Mandirancan,Kec. Mandirancan,Kab. Kuningan,Prov. Jawa Barat,45558,-6.816200000000,108.473000000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMA NEGERI 1 PASAWAHAN,20246367,SMA,Kliwon,Pasawahan,Kec. Pasawahan,Kab. Kuningan,Prov. Jawa Barat,45559,-6.809900000000,108.434000000000,NEGERI,A,Ada,Ada,Mata air terlindungi,Cukup
SMA NEGERI 1 SUBANG,20212957,SMA,Manis,Subang,Kec. Subang,Kab. Kuningan,Prov. Jawa Barat,45586,-7.129400000000,108.525300000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMA NEGERI 2 KUNINGAN,20212956,SMA,Lamepayung,Kuningan,Kec. Kuningan,Kab. Kuningan,Prov. Jawa Barat,45511,-6.979300000000,108.485300000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMA NEGERI 3 KUNINGAN,20212955,SMA,-,Kuningan,Kec. Kuningan,Kab. Kuningan,Prov. Jawa Barat,45511,-6.976700000000,108.483900000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMA AINURRAFIQ,20212946,SMA,03,Panawuan,Kec. Cigandamekar,Kab. Kuningan,Prov. Jawa Barat,45556,-6.880700000000,108.498600000000,SWASTA,A,Ada,Ada,Mata air terlindungi,Cukup
SMA BINAUL UMMAH,20270923,SMA,-,Cipari,Kec. Cigugur,Kab. Kuningan,Prov. Jawa Barat,45552,-6.963800000000,108.467400000000,SWASTA,A,Ada,Ada,Mata air terlindungi,Cukup
SMA ISLAM PLUS BAITUSSALAM KUNINGAN,70039210,SMA,CIKEDUNG,Cirendang,Kec. Kuningan,Kab. Kuningan,Prov. Jawa Barat,45511,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Tidak ada,Sumur terlindungi,Cukup
SMA ISLAM TERPADU AL-MULTAZAM 2 LINGGAJATI,69992708,SMA,Linggajati,Linggajati,Kec. Cilimus,Kab. Kuningan,Prov. Jawa Barat,45549,-6.895969700000,108.457426900000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMA ISLAM TERPADU AN-NUR DUKUHDALEM,69944155,SMA,Dukuh,Dukuhdalem,Kec. Ciawigebang,Kab. Kuningan,Prov. Jawa Barat,45591,-6.972972300000,108.587229900000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA IT AL-HUDA,70040372,SMA,Dusun II Blok Cipetir,Kertawangunan,Kec. Sindangagung,Kab. Kuningan,Prov. Jawa Barat,45573,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Pompa,Cukup
SMA IT Al-Kautsar,70027600,SMA,Kliwon,Bayuning,Kec. Kadugede,Kab. Kuningan,Prov. Jawa Barat,45561,-6.993991700000,108.442010200000,SWASTA,B,Ada,Ada,Mata air terlindungi,Cukup
SMA IT AL-MULTAZAM,20252882,SMA,Satu,Maniskidul,Kec. Jalaksana,Kab. Kuningan,Prov. Jawa Barat,45554,-6.910200000000,108.483500000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA IT DARUL HUDA,70041954,SMA,Kliwon,Purwasari,Kec. Garawangi,Kab. Kuningan,Prov. Jawa Barat,45571,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Sumur terlindungi,Cukup
SMA IT MANBA`UL HUDA,70032333,SMA,dusun wage,Sidaraja,Kec. Ciawigebang,Kab. Kuningan,Prov. Jawa Barat,45591,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Sumur terlindungi,Cukup
SMA PUI CIWEDUS TIMBANG,20212940,SMA,I,Timbang,Kec. Cigandamekar,Kab. Kuningan,Prov. Jawa Barat,45556,-6.878600000000,108.515100000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMAS ITUS JALAKSANA,20247295,SMA,Kliwon,Peusing,Kec. Jalaksana,Kab. Kuningan,Prov. Jawa Barat,45554,-6.901800000000,108.474300000000,SWASTA,A,Ada,Ada,Mata air terlindungi,Cukup
SMAS MANBAUL ULUM,20212943,SMA,PARENCA,Silebu,Kec. Pancalang,Kab. Kuningan,Prov. Jawa Barat,45557,-6.869300000000,108.532300000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 BANTARUJEG,20213887,SMA,Cigedang,Bantarujeg,Kec. Bantarujeg,Kab. Majalengka,Prov. Jawa Barat,45464,-6.974300000000,108.238300000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 CIKIJING,20213873,SMA,Malongpong,Sukasari,Kec. Cikijing,Kab. Majalengka,Prov. Jawa Barat,45466,-7.028400000000,108.343600000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 JATITUJUH,20213884,SMA,BOJONG DANU,Jatitujuh,Kec. Jatitujuh,Kab. Majalengka,Prov. Jawa Barat,45458,-6.657700000000,108.226600000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN 1 JATIWANGI,20213885,SMA,-,Loji,Kec. Jatiwangi,Kab. Majalengka,Prov. Jawa Barat,45454,-6.726500000000,108.274300000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 KADIPATEN,20213897,SMA,Liangjulang,Liangjulang,Kec. Kadipaten,Kab. Majalengka,Prov. Jawa Barat,45452,-6.772400000000,108.173500000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 KASOKANDEL,20213883,SMA,Babakan Indah,Kasokandel,Kec. Kasokandel,Kab. Majalengka,Prov. Jawa Barat,45453,-6.755600000000,108.206500000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 LEUWIMUNDING,20213896,SMA,Blok Rabu,Leuwimunding,Kec. Leuwimunding,Kab. Majalengka,Prov. Jawa Barat,45473,-6.733200000000,108.347900000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 LIGUNG,20213895,SMA,BLOK JUM'AT,Ligung,Kec. Ligung,Kab. Majalengka,Prov. Jawa Barat,45456,-6.652100000000,108.279300000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN 1 MAJA,20213894,SMA,-,Maja Selatan,Kec. Maja,Kab. Majalengka,Prov. Jawa Barat,45461,-6.889900000000,108.303900000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 MAJALENGKA,20213893,SMA,Kelurahan Majalengka Kulon,Majalengka Kulon,Kec. Majalengka,Kab. Majalengka,Prov. Jawa Barat,45418,-6.833720000000,108.217921700000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 RAJAGALUH,20213886,SMA,-,Rajagaluh Lor,Kec. Rajagaluh,Kab. Majalengka,Prov. Jawa Barat,45472,-6.776700000000,108.341900000000,NEGERI,A,Ada,Tidak ada,Ledeng/PAM,Cukup
SMAN 1 SINDANGWANGI,20258140,SMA,Sinapeul,Jerukleueut,Kec. Sindangwangi,Kab. Majalengka,Prov. Jawa Barat,45474,-6.777800000000,108.382800000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 SUKAHAJI,20213892,SMA,-,Cikalong,Kec. Sukahaji,Kab. Majalengka,Prov. Jawa Barat,45471,-6.818700000000,108.282700000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Kurang
SMAN 1 SUMBERJAYA,20247182,SMA,Desa Rancaputat,Rancaputat,Kec. Sumberjaya,Kab. Majalengka,Prov. Jawa Barat,45455,-6.703000000000,108.349900000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN 1 TALAGA,20213891,SMA,-,Ganeas,Kec. Talaga,Kab. Majalengka,Prov. Jawa Barat,45463,-6.985100000000,108.318600000000,NEGERI,A,Ada,Ada,Mata air terlindungi,Cukup
SMAN 2 MAJALENGKA,20213889,SMA,Majalengka Kulon,Majalengka Kulon,Kec. Majalengka,Kab. Majalengka,Prov. Jawa Barat,45418,-6.835800000000,108.228983300000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMA IT AL-MANSHUR,70040089,SMA,Mekarsari,Malausma,Kec. Malausma,Kab. Majalengka,Prov. Jawa Barat,45469,-7.029500000000,108.242800000000,SWASTA,Belum Akreditasi,Ada,Ada,Mata air terlindungi,Kurang
SMA IT AR - RAHMAN,70035731,SMA,Mawarsari,Gandasari,Kec. Kasokandel,Kab. Majalengka,Prov. Jawa Barat,45451,-6.758100000000,108.199600000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA IT NURUL BAROKAH,69892332,SMA,NGALAMBANG,Kancana,Kec. Cikijing,Kab. Majalengka,Prov. Jawa Barat,45466,-6.983100000000,108.365700000000,SWASTA,B,Ada,Ada,Mata air terlindungi,Cukup
SMA NURUL FAJRI,69900793,SMA,Weragati,Weragati,Kec. Palasah,Kab. Majalengka,Prov. Jawa Barat,45475,-6.766500000000,108.296000000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA PLUS AT-TADZKIR,70041317,SMA,Sukamandi,Pasanggrahan,Kec. Maja,Kab. Majalengka,Prov. Jawa Barat,45461,0.003900000000,0.000300000000,SWASTA,Belum Akreditasi,Ada,Ada,Ledeng/PAM,Cukup
SMA PRAKARYA SINDANG,20213874,SMA,Santi Asromo,Pasirayu,Kec. Sindang,Kab. Majalengka,Prov. Jawa Barat,45471,-6.849800000000,108.302400000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMAS AL MIZAN JATIWANGI,20247179,SMA,03,Ciborelang,Kec. Jatiwangi,Kab. Majalengka,Prov. Jawa Barat,45454,-6.726000000000,108.273300000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMAS DAARUL AMANAH,20247180,SMA,Andansari Desa Singawada,Singawada,Kec. Rajagaluh,Kab. Majalengka,Prov. Jawa Barat,45472,-6.795300000000,108.350300000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMAS PGRI 1 MAJALENGKA,20213877,SMA,-,Majalengka Kulon,Kec. Majalengka,Kab. Majalengka,Prov. Jawa Barat,45418,-6.832200000000,108.210300000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA NEGERI 1 CIGUGUR,70001826,SMA,Cigugur,DESA CIGUGUR,KEC. CIGUGUR,Kab. Pangandaran,Prov. Jawa Barat,46392,-7.636100000000,108.422100000000,NEGERI,B,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 LANGKAPLANCAR,20251847,SMA,CIBEUREUM,DESA CIMANGGU,KEC. LANGKAPLANCAR,Kab. Pangandaran,Prov. Jawa Barat,46391,-7.502700000000,108.421600000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 MANGUNJAYA,20211503,SMA,MANGUNJAYA,DESA MANGUNJAYA,KEC. MANGUNJAYA,Kab. Pangandaran,Prov. Jawa Barat,46371,-7.490400000000,108.698100000000,NEGERI,A,Ada,Ada,Pompa,Kurang
SMAN 1 PANGANDARAN,20211506,SMA,KAMURANG,DESA BABAKAN,KEC. PANGANDARAN,Kab. Pangandaran,Prov. Jawa Barat,46396,-7.676700000000,108.674900000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 PARIGI,20211508,SMA,BOJONGSALAWE,DESA KARANGJALADRI,KEC. PARIGI,Kab. Pangandaran,Prov. Jawa Barat,46393,-7.707100000000,108.496700000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMA INFORMATIKA NURUL BAYAN,69995692,SMA,Cidadap,DESA CIMERAK,KEC. CIMERAK,Kab. Pangandaran,Prov. Jawa Barat,46395,-7.749400000000,108.430000000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA KSATRIA NUSANTARA PADAHERANG,69935515,SMA,PATINGGEN 2,DESA KARANGPAWITAN,KEC. PADAHERANG,Kab. Pangandaran,Prov. Jawa Barat,46384,-7.543400000000,108.695200000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMAS MUHAMMADIYAH PANGANDARAN,20211560,SMA,KARANG SARI,DESA PANANJUNG,KEC. PANGANDARAN,Kab. Pangandaran,Prov. Jawa Barat,46396,-7.680000000000,108.644800000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 BUNGURSARI,20217461,SMA,-,Bungursari,Kec. Bungursari,Kab. Purwakarta,Prov. Jawa Barat,41181,-6.478600000000,107.479300000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 CAMPAKA,20254043,SMA,Campaka,Campaka,Kec. Campaka,Kab. Purwakarta,Prov. Jawa Barat,41181,-6.510300000000,107.484400000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 CIBATU,20217479,SMA,-,Cibatu,Kec. Cibatu,Kab. Purwakarta,Prov. Jawa Barat,41183,-6.502100000000,107.533700000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 DARANGDAN,20217408,SMA,III,Sawit,Kec. Darangdan,Kab. Purwakarta,Prov. Jawa Barat,41163,-6.698500000000,107.447300000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 JATILUHUR,20217338,SMA,-,Bunder,Kec. Jatiluhur,Kab. Purwakarta,Prov. Jawa Barat,41152,-6.559100000000,107.428500000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 MANIIS,20251911,SMA,Sinargalih,Sinargalih,Kec. Maniis,Kab. Purwakarta,Prov. Jawa Barat,41166,-6.706900000000,107.313300000000,NEGERI,B,Ada,Ada,Sumur terlindungi,Tidak ada
SMAN 1 PASAWAHAN,20229746,SMA,Kp. Sukamaju,Pasawahan,Kec. Pasawahan,Kab. Purwakarta,Prov. Jawa Barat,41172,-6.586800000000,107.474900000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Kurang
SMAN 1 PLERED,69848997,SMA,Cibogohilir,Cibogohilir,Kec. Plered,Kab. Purwakarta,Prov. Jawa Barat,41162,-6.652400000000,107.393800000000,NEGERI,B,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 PURWAKARTA,20217357,SMA,-,Nagrikidul,Kec. Purwakarta,Kab. Purwakarta,Prov. Jawa Barat,41111,-6.560400000000,107.447300000000,NEGERI,A,Ada,Ada,Ledeng/PAM,Cukup
SMAN 1 SUKASARI,20229747,SMA,CIKAHURIPAN,Kertamanah,Kec. Sukasari,Kab. Purwakarta,Prov. Jawa Barat,41153,-6.538300000000,107.294100000000,NEGERI,B,Ada,Ada,Pompa,Cukup
SMAN 1 SUKATANI,20217358,SMA,Sukatani,Sukatani,Kec. Sukatani,Kab. Purwakarta,Prov. Jawa Barat,41167,-6.613500000000,107.411300000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup
SMAN 1 TEGALWARU,20217359,SMA,-,Warungjeruk,Kec. Tegalwaru,Kab. Purwakarta,Prov. Jawa Barat,41165,-6.653700000000,107.329000000000,NEGERI,A,Ada,Ada,Pompa,Kurang
SMAN 1 WANAYASA,20217360,SMA,Pameungpeuk,Wanasari,Kec. Wanayasa,Kab. Purwakarta,Prov. Jawa Barat,41174,-6.665200000000,107.548800000000,NEGERI,A,Ada,Ada,Sumur terlindungi,Kurang
SMAN 2 PURWAKARTA,20217361,SMA,Ciseureuh,Ciseureuh,Kec. Purwakarta,Kab. Purwakarta,Prov. Jawa Barat,41118,-6.513900000000,107.465600000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN 2 SUKATANI,69858458,SMA,,Panyindangan,Kec. Sukatani,Kab. Purwakarta,Prov. Jawa Barat,41167,-6.577000000000,107.351600000000,NEGERI,C,Ada,Ada,Sumur terlindungi,Cukup
SMAN 3 PURWAKARTA,20217363,SMA,Nagri Kaler,Nagrikaler,Kec. Purwakarta,Kab. Purwakarta,Prov. Jawa Barat,41115,-6.542200000000,107.439200000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMAN BABAKANCIKAO,69849088,SMA,Kp. Hegarmanah,Hegarmanah,Kec. Babakancikao,Kab. Purwakarta,Prov. Jawa Barat,41151,-6.502600000000,107.411200000000,NEGERI,C,Ada,Ada,Ledeng/PAM,Cukup
SMA 3 AL-MUHAJIRIN,70043768,SMA,sukajaya,Sukajaya,Kec. Sukatani,Kab. Purwakarta,Prov. Jawa Barat,41167,0.002100000000,-0.000300000000,SWASTA,Belum Akreditasi,Ada,Ada,Pompa,Cukup
SMA AL BADAR,69990973,SMA,Jl. Pesantren Kp. CipuluS Desa Nagrog Kecamatan Wanayasa,Nagrog,Kec. Wanayasa,Kab. Purwakarta,Prov. Jawa Barat,41174,-6.713400000000,107.537700000000,SWASTA,C,Ada,Ada,Sumur tidak terlindungi,Cukup
SMA AL-MURIDIYYAH,69956667,SMA,Lebak Anyar,Lebakanyar,Kec. Pasawahan,Kab. Purwakarta,Prov. Jawa Barat,41172,-6.573000000000,107.462600000000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMA AQL ISLAMIC SCHOOL 2,70040231,SMA,SUKAJAYA,Sukajaya,Kec. Sukatani,Kab. Purwakarta,Prov. Jawa Barat,41167,-6.588600000000,107.422700000000,SWASTA,Belum Akreditasi,Ada,Ada,Ledeng/PAM,Cukup
SMA Fullday Al-Muhajirin,70010870,SMA,,Ciseureuh,Kec. Purwakarta,Kab. Purwakarta,Prov. Jawa Barat,41118,-6.521600000000,107.461200000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA Plus Ar-Raudhah,70006856,SMA,,Kertamukti,Kec. Campaka,Kab. Purwakarta,Prov. Jawa Barat,41181,-6.487200000000,107.511400000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA RAMA GLOBAL SCHOOL,69923800,SPK SMA,Cibinong,Cibinong,Kec. Jatiluhur,Kab. Purwakarta,Prov. Jawa Barat,41101,-6.600265100000,107.443090800000,SWASTA,Belum Akreditasi,Ada,Ada,Ledeng/PAM,Cukup
SMAS AL ISLAM,20229641,SMA,,CIPAISAN,Kec. Purwakarta,Kab. Purwakarta,Prov. Jawa Barat,41113,-6.550100000000,107.437900000000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMAS AL MUHAJIRIN,20229745,SMA,Kelurahan Nagrikaler,Nagrikaler,Kec. Purwakarta,Kab. Purwakarta,Prov. Jawa Barat,41115,-6.527800000000,107.450400000000,SWASTA,A,Ada,Tidak ada,Pompa,Cukup
SMAS PASUNDAN PLERED,20229749,SMA,CIBOGO HILIR,P L E R E D,Kec. Plered,Kab. Purwakarta,Prov. Jawa Barat,41162,-6.648100000000,107.385600000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMAS PASUNDAN PURWAKARTA,20217459,SMA,-,Nagrikidul,Kec. Purwakarta,Kab. Purwakarta,Prov. Jawa Barat,41111,-6.559600000000,107.444100000000,SWASTA,B,Ada,Ada,Ledeng/PAM,Tidak ada
SMAS PGRI 1 PURWAKARTA,20229752,SMA,-,Nagritengah,Kec. Purwakarta,Kab. Purwakarta,Prov. Jawa Barat,41114,-6.553100000000,107.443100000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMAS PGRI 3 PURWAKARTA,20229751,SMA,Nagri Kaler,Nagrikaler,Kec. Purwakarta,Kab. Purwakarta,Prov. Jawa Barat,41115,-6.536200000000,107.448000000000,SWASTA,B,Ada,Ada,Pompa,Cukup
SMA NEGERI 1 CISALAK,70003406,SMA,Kapuk Nahun,Darmaga,Kec. Cisalak,Kab. Subang,Prov. Jawa Barat,41283,-6.708100000000,107.756700000000,NEGERI,B,Ada,Ada,Ledeng/PAM,Cukup
SMA NEGERI 1 PURWADADI,20216939,SMA,Warungasem,Belendung,Kec. Purwadadi,Kab. Subang,Prov. Jawa Barat,41261,-6.465200000000,107.689800000000,NEGERI,A,Ada,Ada,Pompa,Cukup
SMA NEGERI 4 SUBANG,69974158,SMA,Sukamelang,Sukamelang,Kec. Subang,Kab. Subang,Prov. Jawa Barat,41211,-6.542300000000,107.766900000000,NEGERI,B,Ada,Ada,Pompa,Cukup
SMA NEGERI BINONG,70011819,SMA,Bakan Sapi,Binong,Kec. Binong,Kab. Subang,Prov. Jawa Barat,41253,-6.398300000000,107.797100000000,NEGERI,Belum Akreditasi,Ada,Ada,Pompa,Cukup
