DAFTAR SATUAN PENDIDIKAN JENJANG SMA,,,,,,,,,,,,,,,,
TAHUN AJARAN 2024/2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAMA SEKOLAH,NPSN,BENTUK,NAMA DUSUN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,PROVINSI,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI,SUMBER LISTRIK,AKSES INTERNET,SUMBER AIR,KECUKUPAN AIR
SMA DARMAYANTI CIMAUNG,20227833,SMA,Babakan Cianjur,Malasari,Kec. Cimaung,Kab. Bandung,Prov. Jawa Barat,40377,-7.074200000000,107.548400000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA DARUL HIKMAH BOJONGSOANG,20228432,SMA,Kp. Cikoneng,Bojongsoang,Kec. Bojongsoang,Kab. Bandung,Prov. Jawa Barat,40288,-6.987801000000,107.646909000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA FITHRAH INSANI BILINGUAL BOARDING ISLAMIC SCHOOL,70043911,SMA,jl cigondok rt 3 rw 2 desa pasirhuni kecamatan cimaung,Pasirhuni,Kec. Cimaung,Kab. Bandung,Prov. Jawa Barat,40374,-7.091600000000,107.570800000000,SWASTA,Belum Akreditasi,Ada,Ada,Sumur terlindungi,Cukup
SMA HANDAYANI 2 BANJARAN,20227837,SMA,Batukarut,Batukarut,Kec. Arjasari,Kab. Bandung,Prov. Jawa Barat,40379,-7.042400000000,107.592200000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMA HANDAYANI I ARJASARI,20251948,SMA,bojong sereh,Lebakwangi,Kec. Arjasari,Kab. Bandung,Prov. Jawa Barat,40376,-7.032300000000,107.594400000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMA ISLAM AL-MUKLIS,20227916,SMA,-,Nagrak,Kec. Cangkuang,Kab. Bandung,Prov. Jawa Barat,40238,-7.054641600000,107.548975000000,SWASTA,C,Ada,Ada,Sumur terlindungi,Kurang
SMA Islam Bakti Asih,70027168,SMA,Pasirlayung,Padasuka,Kec. Cimenyan,Kab. Bandung,Prov. Jawa Barat,40192,-6.885100000000,107.661800000000,SWASTA,Belum Akreditasi,Ada,Ada,Sumur terlindungi,Cukup
SMA ISLAM TERPADU AL-GHOFAR,70040230,SMA,Cikadut,Cikadut,Kec. Cimenyan,Kab. Bandung,Prov. Jawa Barat,40193,-6.875000000000,107.684300000000,SWASTA,Belum Akreditasi,Ada,Ada,Mata air terlindungi,Cukup
SMA ISLAM TERPADU QORDOVA,70040505,SMA,,Rancaekek Wetan,Kec. Rancaekek,Kab. Bandung,Prov. Jawa Barat,40394,-6.971500000000,107.752100000000,SWASTA,Belum Akreditasi,Ada,Ada,Sumur terlindungi,Cukup
SMA IT AL-MULTAZAM,70039707,SMA,Cukang Lemah,Tenjolaya,Kec. Cicalengka,Kab. Bandung,Prov. Jawa Barat,40395,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Sumur terlindungi,Cukup
SMA IT DANUL FALAH,20228503,SMA,-,Margamekar,Kec. Pangalengan,Kab. Bandung,Prov. Jawa Barat,40378,-7.188700000000,107.580200000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA IT DIPATIUKUR,20240399,SMA,Kp Loa Sasak,Mekarsari,Kec. Ciparay,Kab. Bandung,Prov. Jawa Barat,40381,-7.030200000000,107.739400000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMA IT FITHRAH INSANI BALEENDAH,70032175,SMA,Jl. T Endung Surya Putra RT. 04 RW. 13,Baleendah,Kec. Baleendah,Kab. Bandung,Prov. Jawa Barat,40374,0.000000000000,0.000000000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA IT NURUL WASILAH,70040223,SMA,,Waluya,Kec. Cicalengka,Kab. Bandung,Prov. Jawa Barat,40395,-6.994300000000,107.842400000000,SWASTA,Belum Akreditasi,Ada,Ada,Pompa,Cukup
SMA K 3 BINA BAKTI,60728545,SMA,-,Sayati,Kec. Margahayu,Kab. Bandung,Prov. Jawa Barat,40226,-6.965948300000,107.573941700000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA KARANG ARUM CILENGKRANG,20227852,SMA,Jatiendah,Cilengkrang,Kec. Cilengkrang,Kab. Bandung,Prov. Jawa Barat,40616,-6.897572800000,107.698968300000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMA KARYA BUDI CILEUNYI,20227853,SMA,Kp. Pasantren,Cimekar,Kec. Cileunyi,Kab. Bandung,Prov. Jawa Barat,40393,-6.937000000000,107.740900000000,SWASTA,A,Ada,Tidak ada,Sumur terlindungi,Cukup
SMA KP 1 CIPARAY,20227848,SMA,-,Pakutandang,Kec. Ciparay,Kab. Bandung,Prov. Jawa Barat,40381,-7.041600000000,107.711900000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMA KP 1 PASEH,20227850,SMA,-,Ibun,Kec. Ibun,Kab. Bandung,Prov. Jawa Barat,40384,-7.085900000000,107.761700000000,SWASTA,A,Ada,Ada,Mata air terlindungi,Kurang
SMA KP 2 CIPARAY,20227842,SMA,Tonjong,Mekarlaksana,Kec. Ciparay,Kab. Bandung,Prov. Jawa Barat,40381,-7.069300000000,107.694500000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA KP 2 PASEH,20227843,SMA,-,Drawati,Kec. Paseh,Kab. Bandung,Prov. Jawa Barat,40383,-7.056700000000,107.794200000000,SWASTA,B,Ada,Ada,Mata air terlindungi,Cukup
